text,intent
I would like a supervisor to handle this issue personally,ESCALATION_REQUEST
Can you transfer me to the escalation desk,ESCALATION_REQUEST
I want my ticket escalated to senior executive support,ESCALATION_REQUEST
Escalate this complaint to higher authorities right away,ESCALATION_REQUEST
Connect me to someone with higher authority than regular support,ESCALATION_REQUEST
I need a senior specialist to take ownership of this ticket,ESCALATION_REQUEST
Please raise this ticket to tier two support,ESCALATION_REQUEST
I want to file for supervisory review of my unresolved issue,ESCALATION_REQUEST
Kindly forward this conversation to your team leader,ESCALATION_REQUEST
This problem has been mishandled and needs supervisor intervention,ESCALATION_REQUEST
I am asking for an escalation to a senior customer care lead,ESCALATION_REQUEST
Can I talk to a support manager about this dispute,ESCALATION_REQUEST
Move this ticket to the highest escalation level,ESCALATION_REQUEST
I request immediate escalation to senior level representatives,ESCALATION_REQUEST
Please hand this complaint over to a duty supervisor,ESCALATION_REQUEST
My dispute needs urgent review by an escalation officer,ESCALATION_REQUEST
Transfer my support request to a senior customer advocate,ESCALATION_REQUEST
I demand to speak to a senior manager right now,ESCALATION_REQUEST
Elevate this issue to executive customer support,ESCALATION_REQUEST
Please escalate my ticket to a tier 2 agent,ESCALATION_REQUEST
I require supervisory attention for this unresolved problem,ESCALATION_REQUEST
Could you forward my complaint to management for review,ESCALATION_REQUEST
I want this transferred to higher tier technical assistance,ESCALATION_REQUEST
Send this complaint directly to the support supervisor,ESCALATION_REQUEST
I need this escalated to the senior team immediately,ESCALATION_REQUEST
Please assign a senior manager to investigate this ticket,ESCALATION_REQUEST
Requesting immediate supervisory intervention for my open issue,ESCALATION_REQUEST
I want this case handled by a senior representative,ESCALATION_REQUEST
Route this inquiry to a supervisor as soon as possible,ESCALATION_REQUEST
This needs executive escalation due to lack of response,ESCALATION_REQUEST
Can I speak with a customer care supervisor,ESCALATION_REQUEST
Escalate this support ticket to higher management,ESCALATION_REQUEST
I want an escalation specialist to review this matter,ESCALATION_REQUEST
Please bump this complaint to second level support,ESCALATION_REQUEST
I am requesting a supervisor call me regarding this issue,ESCALATION_REQUEST
Move this ongoing issue to the senior resolutions team,ESCALATION_REQUEST
I insist on having a supervisor look into this complaint,ESCALATION_REQUEST
Please upgrade this ticket to manager priority,ESCALATION_REQUEST
Can you forward my dispute to senior team leads,ESCALATION_REQUEST
I want to escalate this matter to a senior director,ESCALATION_REQUEST
Assign a supervisory specialist to my problem right now,ESCALATION_REQUEST
